source_schema,source_table,src_columns,target_schema,target_table,tgt_columns,on_update_action,on_delete_action
public,xxx_group_members,{group_id},public,xxx_groups,{group_id},NO ACTION,NO ACTION
public,xxx_groups,{created_by},auth,users,{id},NO ACTION,NO ACTION
public,xxx_groups,{created_by},auth,users,{id},NO ACTION,NO ACTION
public,xxx_messages,{sender_id},auth,users,{id},NO ACTION,NO ACTION
public,xxx_messages,{sender_id},auth,users,{id},NO ACTION,NO ACTION
public,xxx_messages,{group_id},public,xxx_groups,{group_id},NO ACTION,NO ACTION
public,xxx_messages,{group_id},public,xxx_groups,{group_id},NO ACTION,NO ACTION
public,xxx_news,{created_by},public,xxx_admins,{admin_id},NO ACTION,NO ACTION
public,xxx_news,{created_by},public,xxx_admins,{admin_id},NO ACTION,NO ACTION
public,xxx_news_target_audience,{news_id},public,xxx_news,{news_id},NO ACTION,NO ACTION
public,xxx_news_target_audience,{news_id},public,xxx_news,{news_id},NO ACTION,NO ACTION
public,xxx_organized_elimination_matches,{winner_id},public,athletes,{athlete_id},NO ACTION,NO ACTION
public,xxx_organized_elimination_matches,{athlete2_id},public,athletes,{athlete_id},NO ACTION,NO ACTION
public,xxx_organized_elimination_matches,{athlete1_id},public,athletes,{athlete_id},NO ACTION,NO ACTION
public,xxx_organized_elimination_matches,{winner_id},public,athletes,{athlete_id},NO ACTION,NO ACTION
public,xxx_organized_elimination_matches,{athlete2_id},public,athletes,{athlete_id},NO ACTION,NO ACTION
public,xxx_organized_elimination_matches,{athlete1_id},public,athletes,{athlete_id},NO ACTION,NO ACTION
public,xxx_organized_elimination_matches,{winner_team_id},public,clubs,{club_id},NO ACTION,NO ACTION
public,xxx_organized_elimination_matches,{winner_team_id},public,clubs,{club_id},NO ACTION,NO ACTION
public,xxx_organized_elimination_matches,{team2_id},public,clubs,{club_id},NO ACTION,NO ACTION
public,xxx_organized_elimination_matches,{team1_id},public,clubs,{club_id},NO ACTION,NO ACTION
public,xxx_organized_elimination_matches,{team2_id},public,clubs,{club_id},NO ACTION,NO ACTION
public,xxx_organized_elimination_matches,{team1_id},public,clubs,{club_id},NO ACTION,NO ACTION
public,xxx_organized_elimination_matches,{organized_competition_id},public,organized_competitions,{organized_competition_id},NO ACTION,NO ACTION
public,xxx_organized_elimination_matches,{organized_competition_id},public,organized_competitions,{organized_competition_id},NO ACTION,NO ACTION
public,xxx_organized_scores,{athlete_id},public,athletes,{athlete_id},NO ACTION,NO ACTION
public,xxx_organized_scores,{athlete_id},public,athletes,{athlete_id},NO ACTION,NO ACTION
public,xxx_organized_scores,{organized_competition_id},public,organized_competitions,{organized_competition_id},NO ACTION,NO ACTION
public,xxx_organized_scores,{organized_competition_id},public,organized_competitions,{organized_competition_id},NO ACTION,NO ACTION
public,xxx_training_records,{athlete_id},public,athletes,{athlete_id},NO ACTION,NO ACTION
public,xxx_training_records,{athlete_id},public,athletes,{athlete_id},NO ACTION,NO ACTION
public,xxx_training_series,{training_id},public,training_sessions,{id},NO ACTION,CASCADE
storage,objects,{bucket_id},storage,buckets,{id},NO ACTION,NO ACTION
storage,prefixes,{bucket_id},storage,buckets,{id},NO ACTION,NO ACTION
storage,s3_multipart_uploads,{bucket_id},storage,buckets,{id},NO ACTION,NO ACTION
storage,s3_multipart_uploads_parts,{bucket_id},storage,buckets,{id},NO ACTION,NO ACTION
storage,s3_multipart_uploads_parts,{upload_id},storage,s3_multipart_uploads,{id},NO ACTION,CASCADE
vault,secrets,{key_id},pgsodium,key,{id},NO ACTION,NO ACTION
