schema,table,column,data_type,enum_allowed_values,is_nullable,column_default,is_identity,generated_kind,is_primary_key,is_unique,fk_schema,fk_table,fk_column,check_expression
auth,oauth_clients,client_uri,text,null,true,null,false,null,false,false,null,null,null,CHECK ((char_length(client_name) <= 1024)) AND CHECK ((char_length(client_uri) <= 2048)) AND CHECK ((char_length(logo_uri) <= 2048))
auth,oauth_clients,logo_uri,text,null,true,null,false,null,false,false,null,null,null,CHECK ((char_length(client_name) <= 1024)) AND CHECK ((char_length(client_uri) <= 2048)) AND CHECK ((char_length(logo_uri) <= 2048))
auth,oauth_clients,created_at,timestamp with time zone,null,false,now(),false,null,false,false,null,null,null,CHECK ((char_length(client_name) <= 1024)) AND CHECK ((char_length(client_uri) <= 2048)) AND CHECK ((char_length(logo_uri) <= 2048))
auth,oauth_clients,updated_at,timestamp with time zone,null,false,now(),false,null,false,false,null,null,null,CHECK ((char_length(client_name) <= 1024)) AND CHECK ((char_length(client_uri) <= 2048)) AND CHECK ((char_length(logo_uri) <= 2048))
auth,oauth_clients,deleted_at,timestamp with time zone,null,true,null,false,null,false,false,null,null,null,CHECK ((char_length(client_name) <= 1024)) AND CHECK ((char_length(client_uri) <= 2048)) AND CHECK ((char_length(logo_uri) <= 2048))
auth,one_time_tokens,id,uuid,null,false,null,false,null,true,false,null,null,null,CHECK ((char_length(token_hash) > 0))
auth,one_time_tokens,user_id,uuid,null,false,null,false,null,false,true,auth,users,id,CHECK ((char_length(token_hash) > 0))
auth,one_time_tokens,token_type,auth.one_time_token_type,"confirmation_token, reauthentication_token, recovery_token, email_change_token_new, email_change_token_current, phone_change_token",false,null,false,null,false,true,null,null,null,CHECK ((char_length(token_hash) > 0))
auth,one_time_tokens,token_hash,text,null,false,null,false,null,false,false,null,null,null,CHECK ((char_length(token_hash) > 0))
auth,one_time_tokens,relates_to,text,null,false,null,false,null,false,false,null,null,null,CHECK ((char_length(token_hash) > 0))
auth,one_time_tokens,created_at,timestamp without time zone,null,false,now(),false,null,false,false,null,null,null,CHECK ((char_length(token_hash) > 0))
auth,one_time_tokens,updated_at,timestamp without time zone,null,false,now(),false,null,false,false,null,null,null,CHECK ((char_length(token_hash) > 0))
auth,refresh_tokens,instance_id,uuid,null,true,null,false,null,false,false,null,null,null,null
auth,refresh_tokens,id,bigint,null,false,nextval('auth.refresh_tokens_id_seq'::regclass),false,null,true,false,null,null,null,null
auth,refresh_tokens,token,character varying(255),null,true,null,false,null,false,true,null,null,null,null
auth,refresh_tokens,user_id,character varying(255),null,true,null,false,null,false,false,null,null,null,null
auth,refresh_tokens,revoked,boolean,null,true,null,false,null,false,false,null,null,null,null
auth,refresh_tokens,created_at,timestamp with time zone,null,true,null,false,null,false,false,null,null,null,null
auth,refresh_tokens,updated_at,timestamp with time zone,null,true,null,false,null,false,false,null,null,null,null
auth,refresh_tokens,parent,character varying(255),null,true,null,false,null,false,false,null,null,null,null
auth,refresh_tokens,session_id,uuid,null,true,null,false,null,false,false,auth,sessions,id,null
auth,saml_providers,id,uuid,null,false,null,false,null,true,false,null,null,null,CHECK ((char_length(metadata_xml) > 0)) AND CHECK (((metadata_url = NULL::text) OR (char_length(metadata_url) > 0))) AND CHECK ((char_length(entity_id) > 0))
auth,saml_providers,sso_provider_id,uuid,null,false,null,false,null,false,false,auth,sso_providers,id,CHECK ((char_length(metadata_xml) > 0)) AND CHECK (((metadata_url = NULL::text) OR (char_length(metadata_url) > 0))) AND CHECK ((char_length(entity_id) > 0))
auth,saml_providers,entity_id,text,null,false,null,false,null,false,true,null,null,null,CHECK ((char_length(metadata_xml) > 0)) AND CHECK (((metadata_url = NULL::text) OR (char_length(metadata_url) > 0))) AND CHECK ((char_length(entity_id) > 0))
auth,saml_providers,metadata_xml,text,null,false,null,false,null,false,false,null,null,null,CHECK ((char_length(metadata_xml) > 0)) AND CHECK (((metadata_url = NULL::text) OR (char_length(metadata_url) > 0))) AND CHECK ((char_length(entity_id) > 0))
auth,saml_providers,metadata_url,text,null,true,null,false,null,false,false,null,null,null,CHECK ((char_length(metadata_xml) > 0)) AND CHECK (((metadata_url = NULL::text) OR (char_length(metadata_url) > 0))) AND CHECK ((char_length(entity_id) > 0))
auth,saml_providers,attribute_mapping,jsonb,null,true,null,false,null,false,false,null,null,null,CHECK ((char_length(metadata_xml) > 0)) AND CHECK (((metadata_url = NULL::text) OR (char_length(metadata_url) > 0))) AND CHECK ((char_length(entity_id) > 0))
auth,saml_providers,created_at,timestamp with time zone,null,true,null,false,null,false,false,null,null,null,CHECK ((char_length(metadata_xml) > 0)) AND CHECK (((metadata_url = NULL::text) OR (char_length(metadata_url) > 0))) AND CHECK ((char_length(entity_id) > 0))
auth,saml_providers,updated_at,timestamp with time zone,null,true,null,false,null,false,false,null,null,null,CHECK ((char_length(metadata_xml) > 0)) AND CHECK (((metadata_url = NULL::text) OR (char_length(metadata_url) > 0))) AND CHECK ((char_length(entity_id) > 0))
auth,saml_providers,name_id_format,text,null,true,null,false,null,false,false,null,null,null,CHECK ((char_length(metadata_xml) > 0)) AND CHECK (((metadata_url = NULL::text) OR (char_length(metadata_url) > 0))) AND CHECK ((char_length(entity_id) > 0))
auth,saml_relay_states,id,uuid,null,false,null,false,null,true,false,null,null,null,CHECK ((char_length(request_id) > 0))
